lower_bound,upper_bound,correction
0.0001,"	59.9999","	5594.1627"
60,"	199.9999","	764.8022"
"	-3.9819",0.0001,"	-2711.8142"
"	-4.706",-3.982,"	-1842.4748"
"	-5.7884",-4.7061,"	-1603.0005"
"	-6.7655",-5.7885,"	-3041.4126"
"	-7.1962",-6.7656,"	-1573.0027"
"	-9.077",-7.1963,"	-2838.6339"
"	-9.2033",-9.0771,"	-3033.0523"
"	-9.3241",-9.2034,"	-1075.9668"
"	-10.0412",-9.3242,"	-1125.7748"
"	-10.3857",-10.0413,"	-1592.4335"
"	-10.3911",-10.3858,"	-1803.3818"
"	-10.6736",-10.3912,"	-1486.6006"
"	-10.7489",-10.6737,"	-853.5680"
"	-10.8698",-10.749,"	-909.5811"
"	-10.941",-10.8699,"	-1562.3891"
"	-11.0534",-10.9411,"	-941.3728"
"	-11.1349",-11.0535,"	-2129.6502"
"	-11.2456",-11.135,"	-1024.8086"
"	-11.2462",-11.2457,"	-1398.2108"
"	-11.2728",-11.2463,"	-1492.7315"
"	-11.2779",-11.2729,"	-1004.4236"
"	-11.2839",-11.278,"	-950.7663"
"	-11.3022",-11.284,"	-1011.3301"
"	-11.3058",-11.3023,"	-1011.0391"
"	-11.3562",-11.3059,"	-936.5499"
"	-11.3705",-11.3563,"	-1058.6212"
"	-11.3859",-11.3706,"	-1944.3838"
"	-11.4038",-11.386,"	-2502.7125"
"	-11.4044",-11.4039,"	-3046.2238"
"	-11.41",-11.4045,"	-1493.5152"
"	-11.4148",-11.4101,"	-1414.0854"
"	-11.4353",-11.4149,"	-1350.5120"
"	-11.4569",-11.4354,"	-3102.5695"
"	-11.4857",-11.457,"	-1466.9208"
"	-11.4938",-11.4858,"	-1648.6638"
"	-11.5022",-11.4939,"	-873.7622"
"	-11.5206",-11.5023,"	-2799.5231"
"	-11.5309",-11.5207,"	-1773.7698"
"	-11.5467",-11.531,"	-1641.5653"
"	-11.5474",-11.5468,"	-1104.5562"
"	-11.5536",-11.5475,"	-1277.1233"
"	-11.5657",-11.5537,"	-1431.5185"
"	-11.5999",-11.5658,"	-1643.1136"
"	-11.623",-11.6,"	-1330.3211"
"	-11.6269",-11.6231,"	-1906.1513"
"	-11.6389",-11.627,"	-1079.4717"
"	-11.6615",-11.639,"	-1163.3314"
"	-11.6634",-11.6616,"	-1008.8286"
"	-11.6756",-11.6635,"	-870.8381"
"	-11.6911",-11.6757,"	-938.2468"
"	-11.7481",-11.6912,"	-900.1264"
"	-11.7508",-11.7482,"	-916.9624"
"	-11.753",-11.7509,"	-2107.9975"
"	-11.7706",-11.7531,"	-873.1129"
"	-11.772",-11.7707,"	-1306.2528"
"	-11.7771",-11.7721,"	-1908.5938"
"	-11.8133",-11.7772,"	-1310.5049"
"	-11.8273",-11.8134,"	-801.7636"
"	-11.8424",-11.8274,"	-995.0851"
"	-11.8442",-11.8425,"	-1020.2790"
"	-11.8685",-11.8443,"	-883.5877"
"	-11.8711",-11.8686,"	-1102.4303"
"	-11.9332",-11.8712,"	-921.2381"
"	-11.9452",-11.9333,"	-778.0970"
"	-11.9688",-11.9453,"	-1119.3140"
"	-11.9891",-11.9689,"	-900.7295"
"	-11.9902",-11.9892,"	-1309.3196"
"	-12.0439",-11.9903,"	-963.5088"
"	-12.0527",-12.044,"	-2929.2493"
"	-12.0574",-12.0528,"	-1103.5323"
"	-12.0585",-12.0575,"	-1086.8559"
"	-12.0828",-12.0586,"	-1713.8622"
"	-12.0857",-12.0829,"	-1109.4606"
"	-12.1081",-12.0858,"	-1380.1325"
"	-12.1451",-12.1082,"	-1022.1826"
"	-12.2208",-12.1452,"	-1000.1020"
"	-12.2696",-12.2209,"	-1175.8261"
"	-12.2869",-12.2697,"	-2370.7189"
"	-12.3495",-12.287,"	-755.8970"
"	-12.3941",-12.3496,"	-2068.6795"
"	-12.4178",-12.3942,"	-937.5071"
"	-12.5496",-12.4179,"	-928.7117"
"	-12.5576",-12.5497,"	-776.8808"
"	-12.5774",-12.5577,"	-2206.9564"
"	-13.9769",-12.5775,"	-794.0003"
"	-15.2602",-13.977,"	-794.6185"
"	-15.8389",-15.2603,"	-807.1187"
"	-15.9223",-15.839,"	-853.6604"
"	-16.178",-15.9224,"	-1014.8201"
"	-16.28",-16.1781,"	-585.2589"
"	-16.3325",-16.2801,"	-1207.3271"
"	-16.5836",-16.3326,"	-648.7356"
"	-16.604",-16.5837,"	-937.1455"
"	-16.7762",-16.6041,"	-1244.4815"
"	-16.7805",-16.7763,"	-606.5413"
"	-16.9125",-16.7806,"	-1016.4844"
"	-16.9539",-16.9126,"	-825.4949"
"	-17.1126",-16.954,"	-1064.1991"
"	-17.1853",-17.1127,"	-687.7130"
"	-17.1904",-17.1854,"	-1635.7377"
"	-17.2052",-17.1905,"	-669.5967"
"	-17.2141",-17.2053,"	-652.6682"
"	-17.2426",-17.2142,"	-1022.1355"
"	-17.2888",-17.2427,"	-1019.6720"
"	-17.2962",-17.2889,"	-631.9096"
"	-17.3919",-17.2963,"	-818.7236"
"	-17.5229",-17.392,"	-830.4737"
"	-17.5883",-17.523,"	-998.3243"
"	-17.6474",-17.5884,"	-864.9835"
"	-17.7488",-17.6475,"	-888.7849"
"	-17.7583",-17.7489,"	-916.5214"
"	-18.0207",-17.7584,"	-1415.1524"
"	-18.0841",-18.0208,"	-1454.7778"
"	-18.2084",-18.0842,"	-1203.8863"
"	-18.3073",-18.2085,"	-1296.2449"
"	-18.3781",-18.3074,"	-785.5986"
"	-18.7341",-18.3782,"	-660.4755"
"	-18.7407",-18.7342,"	-1588.7396"
"	-18.9076",-18.7408,"	-824.5782"
"	-18.9949",-18.9077,"	-542.2246"
"	-19.0379",-18.995,"	-903.6592"
"	-19.1406",-19.038,"	-622.4498"
"	-19.2141",-19.1407,"	-1328.2624"
"	-19.4108",-19.2142,"	-671.8454"
"	-19.641",-19.4109,"	-740.3220"
"	-19.8755",-19.6411,"	-608.1624"
"	-20.129",-19.8756,"	-1108.4958"
"	-20.5333",-20.1291,"	-2214.3544"
"	-20.904",-20.5334,"	-530.5405"
"	-21.223",-20.9041,"	-632.4418"
"	-21.8958",-21.2231,"	-561.2755"
"	-22.7652",-21.8959,"	-1496.5994"
"	-22.8914",-22.7653,"	-1174.0894"
"	-23.1388",-22.8915,"	-618.6095"
"	-23.2321",-23.1389,"	-521.8299"
"	-23.5336",-23.2322,"	-601.4112"
"	-24.7074",-23.5337,"	-488.5477"
"	-24.7832",-24.7075,"	-442.9740"
"	-24.8809",-24.7833,"	-763.1604"
"	-25.9245",-24.881,"	-532.0242"
"	-25.9792",-25.9246,"	-1285.5621"
"	-26.0668",-25.9793,"	-756.0067"
"	-26.1144",-26.0669,"	-823.7398"
"	-27.002",-26.1145,"	-696.2519"
"	-28.0538",-27.0021,"	-1561.4741"
"	-30.3436",-28.0539,"	-908.9908"
"	-30.8669",-30.3437,"	-398.0540"
"	-31.1972",-30.867,"	-1564.1807"
"	-31.2157",-31.1973,"	-686.2442"
"	-31.2521",-31.2158,"	-323.9848"
"	-31.6386",-31.2522,"	-956.5107"
"	-31.9322",-31.6387,"	-1327.6009"
"	-34.6031",-31.9323,"	-883.1667"
"	-35.3849",-34.6032,"	-1232.7931"
"	-36.9761",-35.385,"	-1192.5982"
"	-37.7636",-36.9762,"	-750.1731"
"	-38.4906",-37.7637,"	-627.4011"
"	-38.5583",-38.4907,"	-380.0953"
"	-38.6393",-38.5584,"	-433.8568"
"	-39.5925",-38.6394,"	-362.6763"
"	-41.6369",-39.5926,"	-587.5483"
"	-44.4274",-41.637,"	-747.5019"
"	-46.1625",-44.4275,"	-346.9535"
"	-47.0166",-46.1626,"	-461.5743"
"	-47.1035",-47.0167,"	-295.3144"
"	-49.2789",-47.1036,"	-266.3997"
"	-49.3278",-49.279,"	-284.4802"
"	-51.8894",-49.3279,"	-558.6674"
"	-52.9245",-51.8895,"	-457.1127"
"	-56.1152",-52.9246,"	-676.7935"
"	-56.1821",-56.1153,"	-514.7226"
"	-58.2349",-56.1822,"	-437.4234"
"	-62.0824",-58.235,"	-278.7946"
"	-63.7152",-62.0825,"	-253.8094"
"	-64.5562",-63.7153,"	-378.8268"
