lower_bound,upper_bound,correction
0.0001,	15.6533,	1222.4020
15.6534,	16.285,	1576.3894
16.2851,	18.4179,	2236.4553
18.418,	19.8928,	1372.8952
19.8929,	20.8775,	1303.4265
20.8776,	21.4474,	361.5951
21.4475,	21.5851,	1099.9039
21.5852,	22.0162,	1080.9464
22.0163,	22.1832,	436.4425
22.1833,	23.2805,	505.6564
23.2806,	24.0496,	324.1239
24.0497,	24.5108,	442.6178
24.5109,	24.5393,	694.6430
24.5394,	24.6371,	269.3616
24.6372,	24.697,	304.9075
24.6971,	24.7701,	265.0782
24.7702,	24.7701,	265.0782
24.7702,	24.7956,	257.5301
24.7957,	24.7956,	257.5301
24.7957,	24.8999,	393.9783
24.9,	24.9721,	284.4289
24.9722,	25.0041,	423.9148
25.0042,	25.0855,	262.7596
25.0856,	25.1281,	481.0229
25.1282,	25.2013,	259.1819
25.2014,	25.2013,	259.1819
25.2014,	25.232,	181.3882
25.2321,	25.3274,	257.6682
25.3275,	25.3274,	257.6682
25.3275,	25.3291,	600.4879
25.3292,	25.382,	810.0949
25.3821,	25.3965,	278.0047
25.3966,	25.4308,	614.0622
25.4309,	25.4418,	568.1915
25.4419,	25.4945,	249.0955
25.4946,	25.5327,	188.9796
25.5328,	25.5607,	284.6378
25.5608,	25.5607,	284.6378
25.5608,	25.622,	282.4835
25.6221,	25.7259,	657.9919
25.726,	25.7485,	264.6715
25.7486,	25.7533,	1457.0827
25.7534,	25.7672,	959.4883
25.7673,	25.8737,	367.6571
25.8738,	25.8753,	267.1450
25.8754,	25.9001,	272.0047
25.9002,	25.9001,	414.9525
25.9002,	25.9691,	265.8187
25.9692,	26.1336,	2042.8377
26.1337,	26.2287,	330.8257
26.2288,	26.2719,	550.8863
26.272,	26.3272,	219.0611
26.3273,	26.3881,	434.3324
26.3882,	26.3894,	324.4123
26.3895,	26.4224,	270.8974
26.4225,	26.4932,	311.4264
26.4933,	26.6036,	602.9133
26.6037,	26.6821,	248.5484
26.6822,	26.8494,	365.1593
26.8495,	26.8812,	257.1267
26.8813,	26.9132,	516.7973
26.9133,	26.9808,	296.5790
26.9809,	26.995,	264.3291
26.9951,	27.054,	313.9870
27.0541,	27.0749,	472.4853
27.075,	27.0817,	309.8713
27.0818,	27.1076,	298.4128
27.1077,	27.1462,	511.5045
27.1463,	27.2368,	1067.5393
27.2369,	27.242,	384.5468
27.2421,	27.2512,	942.1555
27.2513,	27.2605,	248.4892
27.2606,	27.2614,	280.8985
27.2615,	27.2614,	280.8985
27.2615,	27.2988,	240.6742
27.2989,	27.3245,	463.5962
27.3246,	27.3941,	571.6775
27.3942,	27.4091,	189.1146
27.4092,	27.4117,	301.2887
27.4118,	27.438,	271.7467
27.4381,	27.4775,	249.3768
27.4776,	27.4782,	249.3672
27.4783,	27.5032,	572.6490
27.5033,	27.5104,	238.0543
