lower_bound,upper_bound,correction
"	-0.2415",-0.0001,"	-37374.0915"
"	-1.5545",-0.2416,"	-6854.6906"
"	-2.3839",-1.5546,"	-4504.4715"
"	-3.3224",-2.384,"	-3681.7097"
"	-3.7216",-3.3225,"	-4997.4023"
"	-5.3621",-3.7217,"	-2151.4515"
"	-5.7638",-5.3622,"	-1748.2249"
"	-7.2593",-5.7639,"	-1373.4188"
"	-7.3377",-7.2594,"	-6532.5437"
"	-7.9928",-7.3378,"	-1446.6581"
"	-9.6547",-7.9929,"	-1373.9892"
"	-9.8602",-9.6548,"	-2057.3555"
"	-10.7994",-9.8603,"	-1220.4348"
"	-11.0659",-10.7995,"	-967.5331"
"	-11.1684",-11.066,"	-1487.8499"
"	-11.7106",-11.1685,"	-2422.6749"
"	-12.2968",-11.7107,"	-913.2169"
"	-13.0861",-12.2969,"	-1865.2342"
"	-13.3277",-13.0862,"	-1277.9952"
"	-13.3362",-13.3278,"	-752.3611"
"	-13.6054",-13.3363,"	-2768.0681"
"	-13.6615",-13.6055,"	-1249.2125"
"	-14.1056",-13.6616,"	-844.3877"
"	-14.3432",-14.1057,"	-727.4755"
"	-14.4776",-14.3433,"	-735.4644"
"	-14.6827",-14.4777,"	-951.3409"
"	-14.8947",-14.6828,"	-1738.1712"
"	-14.9786",-14.8948,"	-1935.9585"
"	-15.1086",-14.9787,"	-993.5286"
"	-15.2049",-15.1087,"	-2145.3896"
"	-15.4067",-15.205,"	-917.8254"
"	-15.6183",-15.4068,"	-765.8863"
"	-15.6361",-15.6184,"	-829.0843"
"	-15.9721",-15.6362,"	-807.4859"
"	-16.0376",-15.9722,"	-2718.8520"
"	-16.0857",-16.0377,"	-889.5215"
"	-16.1791",-16.0858,"	-1533.9532"
"	-16.5247",-16.1792,"	-1637.0906"
"	-17.0505",-16.5248,"	-874.1697"
"	-17.2028",-17.0506,"	-873.1318"
"	-17.2479",-17.2029,"	-605.9170"
"	-17.313",-17.248,"	-925.9707"
"	-17.7329",-17.3131,"	-940.2474"
"	-17.7569",-17.733,"	-956.0164"
"	-18.0597",-17.757,"	-703.5541"
"	-18.3702",-18.0598,"	-1275.8184"
"	-18.4475",-18.3703,"	-1840.0689"
"	-18.4883",-18.4476,"	-2214.8518"
"	-18.6497",-18.4884,"	-1258.1927"
"	-19.3513",-18.6498,"	-663.2705"
"	-19.3801",-19.3514,"	-518.1778"
"	-19.4182",-19.3802,"	-872.4720"
"	-19.5257",-19.4183,"	-683.8467"
"	-19.6083",-19.5258,"	-1374.9709"
"	-20.1894",-19.6084,"	-788.4812"
"	-20.5795",-20.1895,"	-551.9069"
"	-20.6915",-20.5796,"	-689.6145"
"	-20.8009",-20.6916,"	-532.6744"
"	-21.0532",-20.801,"	-650.9853"
"	-21.1788",-21.0533,"	-657.1610"
"	-21.2636",-21.1789,"	-659.6430"
"	-21.8481",-21.2637,"	-526.4287"
"	-21.9863",-21.8482,"	-782.2427"
"	-22.0105",-21.9864,"	-686.0828"
"	-22.1193",-22.0106,"	-1035.8356"
"	-22.3619",-22.1194,"	-623.2113"
"	-22.6804",-22.362,"	-554.1367"
"	-22.887",-22.6805,"	-536.9288"
"	-22.9667",-22.8871,"	-461.3925"
"	-23.0343",-22.9668,"	-521.1114"
"	-23.0754",-23.0344,"	-719.7087"
"	-23.2872",-23.0755,"	-1255.1401"
"	-23.4229",-23.2873,"	-526.9334"
"	-23.4523",-23.423,"	-1856.7593"
"	-23.6621",-23.4524,"	-556.4270"
"	-23.6699",-23.6622,"	-1261.8154"
"	-24.0428",-23.67,"	-669.8178"
"	-24.0645",-24.0429,"	-681.7692"
"	-24.0737",-24.0646,"	-768.7809"
