lower_bound,upper_bound,correction
1.000000,144.593600,-10.092800
144.593700,144.811500,-14.371500
144.811600,148.532500,-7.764300
148.532600,148.691600,-36.781900
148.691700,149.273900,57.428700
149.274000,149.822100,30.821800
149.822200,150.056600,-6.701900
150.056700,151.035800,-34.452600
151.035900,151.121600,21.756200
151.121700,151.422300,93.498600
151.422400,152.397000,-4.197600
152.397100,152.543300,7.510500
152.543400,152.623100,0.902200
152.623200,152.738100,91.831700
152.738200,152.740100,57.129700
152.740200,152.785300,-12.949700
152.785400,153.162700,11.646000
153.162800,153.594400,43.885500
153.594500,153.735100,20.336800
153.735200,153.783800,46.309300
153.783900,153.836300,83.311700
153.836400,154.135200,-20.200000
154.135300,154.231200,-17.007700
154.231300,154.322500,-37.144600
154.322600,154.699900,-37.298000
154.700000,154.859000,-32.196400
154.859100,154.938900,10.366100
154.939000,155.022300,-17.431200
155.022400,155.029000,-24.530300
155.029100,155.380100,-35.641700
155.380200,155.466800,-40.180100
155.466900,155.590600,-15.804700
155.590700,155.708700,-42.199800
155.708800,155.797400,36.716000
155.797500,155.816900,-47.374100
155.817000,155.893500,-36.495100
155.893600,155.956600,-34.597200
155.956700,156.270900,-41.767800
156.271000,156.315900,-38.585900
156.316000,156.410200,-31.590200
156.410300,156.446500,-0.285400
156.446600,156.472500,-2.219300
156.472600,156.502500,0.956900
156.502600,156.593400,-26.561400
156.593500,156.625600,-19.553400
156.625700,156.705000,-47.672400
156.705100,156.805400,-29.211600
156.805500,156.809500,30.731900
156.809600,156.819800,-8.174900
156.819900,156.956100,61.828600
156.956200,156.986000,-22.286100
156.986100,157.026900,39.466500
157.027000,157.108400,147.599700
157.108500,157.182700,31.693900
157.182800,157.183000,-36.379900
157.183100,157.204100,15.773100
157.204200,157.222300,-28.127200
157.222400,157.258800,-46.584900
157.258900,157.288000,-26.885700
157.288100,157.315200,38.575300
157.315300,157.362100,-34.545900
157.362200,157.382300,-13.586200
157.382400,157.387100,-48.534500
157.387200,157.391100,86.160400
157.391200,157.428600,-41.560800
157.428700,157.441900,9.246600
157.442000,157.450800,3.524400
157.450900,157.461400,-23.155800
157.461500,157.491800,55.563700
157.491900,157.497900,3.493500
157.498000,157.509000,-18.099900
157.509100,157.521100,15.540100
157.521200,157.568200,71.989100
157.568300,157.590800,72.598900
157.590900,157.602900,-12.438200
157.603000,157.638700,31.312900
157.638800,157.644400,42.092000
157.644500,157.677100,-37.847700
157.677200,157.743000,-30.266300
157.743100,157.745900,-36.606900
157.746000,157.767000,36.910700
157.767100,157.773600,54.652000
157.773700,157.785900,-39.158100
157.786000,157.786300,-34.721800
157.786400,157.821800,-20.163100
157.821900,157.834600,-36.642500
157.834700,157.836600,-46.146800
157.836700,157.847100,78.020400
157.847200,157.854100,-16.378500
157.854200,157.854200,-34.749900
157.854300,157.867600,22.887800
157.867700,157.869600,-49.958700
157.869700,157.871200,-44.258400
157.871300,157.877700,-34.126200
157.877800,157.891500,60.236600
157.891600,157.894100,-34.766400
157.894200,157.932100,-32.882500
157.932200,157.939400,-37.317700
157.939500,157.944500,-6.929300
157.944600,157.952800,-44.920300
157.952900,157.956700,-37.957700
157.956800,157.968500,-43.659700
157.968600,157.974700,-32.900600
157.974800,157.975700,-41.130200
157.975800,158.008100,-36.712100
158.008200,158.049900,-39.259700
158.050000,158.055000,37.926700
158.055100,158.055700,-27.240800
158.055800,158.082700,-40.537500
158.082800,158.095800,11.957500
158.095900,158.096000,73.944900
158.096100,158.098200,-34.850600
